x_m,y_m,r
7.34476257148439,0.0203257729923513,-6.55180044040358e-05
7.4453757495012,0.0205796681103428,-6.55180069838752e-05
7.54598892719468,0.0208328999816588,-6.55180095827896e-05
7.64660210456044,0.0210854686063014,-6.55180121712363e-05
7.74721528159408,0.0213373739842728,-6.55180147522007e-05
7.8478284582912,0.0215886161155753,-6.55180173573371e-05
7.9484416346474,0.021839195000211,-6.55180199345521e-05
8.04905481065828,0.0220891106381823,-6.55180225352406e-05
8.14966798631944,0.0223383630294914,-6.55180251109578e-05
8.25028116162649,0.0225869521741408,-6.55180277153096e-05
8.35089433657502,0.0228348780721327,-6.55180303059193e-05
8.45150751116064,0.0230821407234695,-6.55180328767127e-05
8.55212068537894,0.0233287401281538,-6.55180354942304e-05
8.65273385922553,0.0235746762861878,-6.55180380719803e-05
8.75334703269601,0.0238199491975741,-6.55180406536837e-05
8.85396020578598,0.0240645588623153,-6.55180432571507e-05
8.95457337849104,0.0243085052804138,-6.55180458446917e-05
9.05518655080679,0.0245517884518722,-6.55180484344563e-05
9.15579972272883,0.0247944083766931,-6.55180510200871e-05
9.25641289425277,0.0250363650548792,-6.55180536251975e-05
9.35702606537421,0.025277658486433,-6.55180561921444e-05
9.45763923608874,0.0255182886713574,-6.55180588038833e-05
9.55825240639196,0.0257582556096549,-6.55180613937142e-05
9.65886557627949,0.0259975593013283,-6.55180639657514e-05
9.75947874574691,0.0262361997463805,-6.55180665700262e-05
9.86009191478983,0.0264741769448142,-6.55180691652534e-05
9.96070508340386,0.0267114908966322,-6.55180717514536e-05
10.0613182515846,0.0269481416018374,-6.55180743300927e-05
10.1619314193276,0.0271841290604327,-6.55180769546689e-05
10.2625445866286,0.027419453272421,-6.55180795035405e-05
10.363157753483,0.0276541142378052,-6.55180821056705e-05
10.4637709198865,0.0278881119565884,-6.55180847391813e-05
10.5643840858348,0.0281214464287734,-6.55180872817111e-05
10.6649972513234,0.0283541176543635,-6.55180898645183e-05
10.7656104163478,0.0285861256333616,-6.55180925014324e-05
10.8662235809038,0.0288174703657708,-6.55180950716367e-05
10.9668367449869,0.0290481518515942,-6.5518097657576e-05
11.0674499085927,0.029278170090835,-6.55181002365046e-05
11.1680630717168,0.0295075250834965,-6.55181028810831e-05
11.2686762343549,0.0297362168295816,-6.55181054012945e-05
11.3692893965024,0.0299642453290938,-6.55181080445409e-05
